Hodnotitel;Text;Sentiment
Doris;Akože outfity má otrasné. Makeup je ale super a vlasy vždy upravené.;pozitivna
Popoluška;Fiona je super princezná. Je vždy dobrá a milá. Fiona vždy rada pomôže.;pozitivna
Dobrá víla;Fiona je náladová. Toho super princa si nezaslúži.;negativna
Snehulienka;Je super.;pozitivna
Pinocchio;Škoda reči, aj tak tento príspevok cenzúra vymaže.;negativna
Mabel;To čo má za muža. Takúto hroznú ozrutu doniesla do kráľovstva.;negativna
Kyklop;Outfity čo nosí sú otrasné.;negativna
Merlin;Naša dobrá princezná je zároveň aj pekná.;pozitivna
Artuš;Je dobrá, môže byť.;pozitivna
Jack;Naposledy mala otrasný účes. Tá farba vlasov je tiež hrozná.;negativna
